Company Rate,Company Name,Title,Location,Salary,Staus,Post Date,Job Link
3.7,Urban Science,"Analyst - New Grads (Data Analysis, SQL Client Consulting) Anticipated hiring July","Franklin, TN",$54K - $95K (Glassdoor est.),Actively Hiring,31/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1045219&s=149&guid=00000178a4712a0ca97b15c128815090&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_5c858491&cb=1617666583379&jobListingId=3766833558
4.0,SullivanCotter,Data Quality Analyst I,"Minneapolis, MN",$46K - $82K (Glassdoor est.),Actively Hiring,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=149&guid=00000178a4712a0ca97b15c128815090&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_7c16e568&cb=1617666583380&jobListingId=4045772766
3.5,Centene Corporation,Data Analyst I - Regulatory Financial Reporting (Actuarial Dept.),"Mango, FL",$37K - $64K (Glassdoor est.),Actively Hiring,04/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&cs=1_9f4c58da&cb=1617666583381&jobListingId=4052396740
3.8,Liberty Mutual Insurance,"Analyst, Product Research/Analyst I, Data Science","Boston, MA",$47K - $92K (Glassdoor est.),Hiring Surge,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&cs=1_64c24a02&cb=1617666583382&jobListingId=4051277870
3.6,HKA Enterprises,Data Analyst I,"Haworth, NJ",,Hot,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044076&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e639e37a&cb=1617666583382&jobListingId=4019141256
3.5,Acara Solutions,Data Analyst 1,"Iselin, NJ",,Hot,23/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044072&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bd2665e3&cb=1617666583383&jobListingId=4040001833
4.3,Boston Scientific,Data Analytics Analyst I,"Arden Hills, MN",$42K - $74K (Glassdoor est.),New,04/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=643978&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&cs=1_5f9def52&cb=1617666583383&jobListingId=4052613548
4.6,Kani Solutions,Data Analyst (Entry Level),"California, MD",,New,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1091454&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a14eebf2&cb=1617666583383&jobListingId=4051448513
4.8,Hopjump,Entry Level Data Analyst,"Cambridge, MA",,Hot,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136006&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_109ea5d5&cb=1617666583383&jobListingId=3710085025
,Cobbs Creek Healthcare,Data Analyst - Entry Level,"Newtown Square Post Office, PA",,Hot,31/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1091454&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_86c64342&cb=1617666583385&jobListingId=4021097350
4.3,Endeavor Business Media,Entry Level Data Analyst,Remote,,,26/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4348&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_17b20fbb&cb=1617666583383&jobListingId=4044045658
2.1,Net Atlantic,Entry Level Data Analyst,"Salem, MA",$33K - $61K (Glassdoor est.),,19/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136006&s=58&guid=00000178a4712a0c9f82898117084dfd&src=GD_JOB_AD&t=SR&vt=w&cs=1_bc1aeaae&cb=1617666583383&jobListingId=4007154791
