Company Rate,Company Name,Title,Location,Salary,Staus,Post Date,Job Link
3.7,Battelle,Data Scientist I,"Columbus, OH",$91K - $149K (Glassdoor est.),Actively Hiring,27/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=149&guid=00000178a48205bc93b1052e19e3fef6&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_813ab910&cb=1617667688233&jobListingId=4044401327
2.8,The Lauridsen Group,Research Scientist I - Essentia,"Ankeny, IA",$34K - $75K (Glassdoor est.),Hot,25/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_577045b0&cb=1617667688235&jobListingId=3809224071
,Matica Biotechnology,"Scientist I, Analytical Development","College Station, TX",,Hot,24/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044077&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b4055ef8&cb=1617667688236&jobListingId=4041175082
2.7,SeraCare Life Sciences,Bioprocessing Scientist I,"Cumberland Foreside, ME",$37K - $82K (Glassdoor est.),New,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_514de349&cb=1617667688237&jobListingId=4051359045
3.1,"Pace Analytical Services, LLC",Scientist I,"Boothwyn, PA",$32K - $76K (Glassdoor est.),,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_3ee52221&cb=1617667688238&jobListingId=4045912670
,Mapp Biopharmaceutical,Scientist I - Cell Line Development,"San Diego, CA",,,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4f31b62a&cb=1617667688239&jobListingId=4048895940
3.5,"Sun Pharmaceutical Industries, Inc.",Scientist I,"New Brunswick, NJ",$34K - $80K (Glassdoor est.),New,03/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_a3982cb4&cb=1617667688239&jobListingId=3817975932
,"Maine Molecular Quality Controls, Inc",R&D Scientist I _ Molecular Diagnostics,"Saco, ME",,,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044077&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_22d3ccf9&cb=1617667688240&jobListingId=4048995472
3.6,"Entegris, Inc.",Scientist I,"San Luis Obispo, CA",$42K - $85K (Glassdoor est.),Hiring Surge,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_fcc4f3d1&cb=1617667688240&jobListingId=4049068802
,ProStaff Solutions Inc,Scientist I,"New Brunswick, NJ",,Hot,16/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044072&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_44034367&cb=1617667688350&jobListingId=4033460300
